sentence	label
Belum balik dana refund serbu seru saya	transaksi
Pesanan saya dari kemarin belum di pick up gojek sameday kenapa ya min??	transaksi
Tiket #10085613 [Bukalapak] Konfirmasi Transaksi 181527127469  sampai kapan komplen nya selesai?? Slow respon dan ga ada penjelasan	transaksi
@appodi_haruok cek saldo buka emas dimn ya.? kok apl BL saya gak ada ya.? Ada nya bukadompet, DANA dan Credit.	produk
Saya hub BL sllu sibuk CS nya , tlg bntuannya BL19128RDFZWINV <enter> Tgihan sudah saya bayar sdh 4 jam yg lalu tp msi stts masi menunggu pmbayarn tlg infonya	transaksi
191714906666 pembeli sudah setuju	transaksi
Hallo @bukalapak berhubung saya sudah kecewa dengan apa yang terjadi dengan Serbu Seru mulai hari ini dan selamanya saya tidak akan ikut Serbuan yang nggak tau palsu apa asli ini. Ratusan kali saya ikut dan sekali dikecewakan karena dan 12.000 dianggap sebagai modal buka emas tanpa pemberitahuan sebelumnya membuat saya sadar bahwa Program Serbu Seru adalah program Bukalapak yang bagi saya tidak benar2 ada.. terima kasih sudah pelanggan mu amat sangat kecewa..buat yang lain yang masih tergiur dengan program Serbu Seru silahkan ikuti dengan senang dan yakin... terima kasih Bukalapak semoga tidak terjadi pada yang lain..	misuh
@sammygepe sudah tahu bro😒 b aja kali gak usah so pinter gitu	lainnya
Perhatikan jawaban dan pertanyaannya :D	lainnya
Pas tau saya gagal lagi dapetin emas, saya cukup tepukul😭	misuh
Min DANA saya ada yg belum balik kok ya kemarin @bukalapak akun bandararloji	transaksi
Min, kok dana saya blum dibalikin sampai sekrang pas ikutan serbu seru udh sehari lebih min	transaksi
@bukalapak min tlg dibuka DM nya.. saya mengalami kendala.. terima kasih..	servis
Hayo siapa yang nyesel milih emas di serbu seru😂	misuh
Yg udh pernah menang serbu coba ceritakan disini....	lainnya
@yogathul pending ?	transaksi
191714906666 mohon dibantu aktifkan saya mau kirim.mksh banyak	transaksi
Untuk no teransaksi: 191707438801 kapan yang saya masuk ke dompet?... Dan untuk serbu 190880437376 knpa uang saya di kembalikan hanya 39perak?...	transaksi
Pantes saldo gk balik gmn mo ikutan srbu seru lgi.. Payah	misuh
Nembak siapa yaa ? Hahaha bingung min. Kemarin udh nyaman dengan hati yang amat baik min, tapi di sia siain,.,., eeh gak taunya aku ingt lagi.. Kasihan yaa min 😂😂	lainnya
