pesanan,pesanan
nya,nya
ok,ok
yg,yang
pelapak,pelapak
sy,saya
blm,belum
pengiriman,pengiriman
bukalapak,Bukalapak
dikirim,dikirim
tgl,tanggal
sdh,sudah
jne,JNE
tagihan,tagihan
terimakasih,terima kasih
udah,sudah
tp,tapi
ga,tidak
sampe,sampai
gak,tidak
tdk,tidak
sya,saya
gimana,bagaimana
penjual,penjual
barangnya,barangnya
dr,dari
nomer,nomor
png,png
diterima,diterima
bantuannya,bantuannya
pembayaran,pembayaran
pembelian,pembelian
menunggu,menunggu
respon,respons
url,URL
gan,gan
mba,mbak
makasih,terima kasih
ko,kok
soalnya,soalnya
hubungi,hubungi
dgn,dengan
pembeli,pembeli
blum,belum
udh,sudah
tersebut,tersebut
belom,belum
katanya,katanya
brg,barang
klo,kalau
bantuan,bantuan
menerima,menerima
sekali,sekali
melakukan,melakukan
blom,belum
tujuan,tujuan
nunggu,menunggu
menghubungi,menghubungi
sesuai,sesuai
gk,tidak
skrg,sekarang
pake,pakai
utk,untuk
menggunakan,menggunakan
admin,admin
dikembalikan,dikembalikan
dibantu,dibantu
nyampe,sampai
gmn,bagaimana
resinya,resinya
kembalikan,kembalikan
yah,yah
transaksinya,transaksinya
trimakasih,terima kasih
krn,karena
smpai,sampai
sedangkan,sedangkan
dulu,dulu
infonya,infonya
karna,karena
trima,terima
statusnya,statusnya
pelapaknya,pelapaknya
diproses,diproses
secepatnya,secepatnya
knp,kenapa
tpi,tapi
melalui,melalui
bs,bisa
orderan,orderan
gosend,Gosend
ditunggu,ditunggu
jakarta,Jakarta
setelah,setelah
kemaren,kemarin
jpeg,jpeg
dg,dengan
dri,dari
seharusnya,seharusnya
jd,jadi
jawaban,jawaban
ny,nya
terkirim,terkirim
sebelumnya,sebelumnya
jnt,JNT
berarti,berarti
tsb,tersebut
ternyata,ternyata
pengirimannya,pengirimannya
tks,terima kasih
yaa,ya
wib,WIB
harusnya,harusnya
seminggu,seminggu
trus,terus
nmr,nomor
gini,gini
td,tadi
online,online
menurut,menurut
pesenan,pesanan
menanyakan,pesenan
:),:)
dibatalkan,dibatalkan
keterangan,dibatalkan
dimana,keterangan
kiriman,dimana
batalkan,kiriman
pesen,batalkan
tlp,pesen
smpe,sampai
rp,Rp
gitu,begitu
penerima,penerima
sebelum,sebelum
biasanya,biasanya
jpg,jpg
pemesanan,pemesanan
laporan,laporan
berubah,berubah
informasinya,informasinya
gmna,bagaimana
caranya,caranya
brang,barang
terkait,terkait
skrng,sekarang
mengirim,mengirim
terakhir,terakhir
maksudnya,maksudnya
bukadompet,Bukadompet
akulaku,Akulaku
mksh,terima kasih
sebagai,sebagai
dihubungi,dihubungi
kejelasan,kejelasan
pengembalian,pengembalian
smp,sampai
mengenai,mengenai
lakukan,lakukan
pemberitahuan,pemberitahuan
telp,telepon
solusinya,solusinya
