comment,0
hai,138
pesanan,12832
saya,47630
sampai,20742
saat,2234
ini,12421
belum,15791
dengan,3997
nomer,1725
transaksi,10070
RE_NUMBER,26366
.,28807
sebelumnya,475
transakai,10
RE_TRANSACTION,13090
digantikan,7
yg,7380
baru,1189
diatas,114
tolong,4303
agar,841
dana,1757
dapat,900
dikembalikan,748
iya,3158
yah,710
",",28259
soalnya,1156
gagal,615
dan,7896
barang,17604
lain,1289
pelapak,7038
bukalapak,4772
namun,789
notifikasinya,10
tidak,9759
ada,10030
kalau,1970
dananya,157
saja,2072
nominal,62
awal,125
bukan,982
ke,7276
tunggu,3026
kapan,1413
lagi,2203
?,13967
bisa,6280
rekening,359
langsung,601
karena,1980
waktu,1370
pesan,3017
punya,238
account,40
dear,268
admin,760
kenapa,2464
padahal,2655
paket,1701
dua,294
dikirim,4336
barengRE_NUMBER,3
satu,672
sampe,2290
satunya,59
blom,909
mohon,5397
dibantu,738
dgn,1124
pihak,2897
jasa,1455
pengiriman,5346
terkait,334
terimakasih,2857
oke,3201
dtggu,12
ok,7579
email,2247
g,349
diblas,4
mas,2086
ditindak,145
lanjuti,284
tdk,2003
infonya,633
belu,21
diproses,587
sekarang,3028
estimasi,852
hanya,925
pukul,303
wib,432
cancel,941
juga,4899
segera,1333
diperbaiki,29
harusnya,426
nya,7809
tgl,3279
april,895
di,19267
minta,1934
aja,1946
ga,2531
usah,88
cape,42
nunggunya,28
chat,2423
respo,1
sudah,14279
respon,1424
dari,6316
diselesaikan,58
secepatnya,581
paling,239
lambat,237
itu,5324
pasti,265
ya,8026
terima,8201
kasih,5002
tapi,5791
jam,2678
masih,2041
begini,226
kejelasan,310
bagaimana,1693
kok,2953
status,2962
barag,6
berubah,342
"""",1070
jbRE_NUMBER,509
resi,6259
batalkan,386
:,11197
nomor,4802
tagihan,2968
RE_INVOICE,6646
masuk,904
kan,1644
uang,1646
buka,1969
dompet,853
penjual,1917
terlalu,263
lama,2354
apakah,1655
dibuka,85
pakai,944
grab,1321
instant,335
dibatalkan,402
apa,2418
sangat,695
kecewa,629
menunggu,1439
RE_NUMBERharian,0
sejak,576
membayar,145
tagihannya,189
cobadeh,1
paman,16
dicek,288
dahulu,80
banget,300
ngirimnya,22
mau,3767
pake,802
selamaat,2
pagi,1003
lapak,1604
ingin,748
dimasukan,14
dalam,652
pilihan,95
pembayaaran,0
akulaku,318
caranya,338
pa,197
hay,15
ka,589
kemaren,532
sya,1976
melakukan,935
pembayaran,1503
kompirmsi,9
gimna,133
cek,2677
RE_NUMBER-RE_NUMBER,238
/,4282
jdi,103
proses,1471
gitu,368
waduh,71
siap,1027
ditinggu,3
sy,6833
lgi,184
atau,1719
maksudnya,321
oh,393
mah,80
percepat,132
butuh,653
makasih,1224
bantuannya,1607
yang,4249
beli,1501
pada,1104
RE_NUMBER-RE_NUMBER-RE_NUMBER,280
no,11547
RE_TRANSACTIONRE_NUMBER,679
belom,1062
sdr,4
bl,1490
informasi,587
laporan,348
kota,366
tujuan,893
data,262
terbaru,55
kirim,4192
atas,2120
nama,1138
toga,0
ganda,0
winata,0
pembelian,1452
ny,494
distatus,58
udh,1091
diterima,1610
n,305
complete,24
tp,2625
brgnya,77
jg,1179
gmn,725
ni,387
via,954
instan,278
org,151
grabnya,82
dihubungin,12
bs,569
bsk,111
kluar,23
pagiRE_NUMBER,4
dihubungi,313
menghubungi,885
jd,504
palinh,2
hari,7473
biar,500
sdh,3126
aj,119
klik,253
solusinya,295
gimana,1938
kak,1537
tqnggal,0
sepuluh,2
datang,1455
d,2104
kembalikan,719
gimnana,0
transaksinya,685
gak,2025
keterangan,402
udah,2636
belumnya,2
pemberitahuan,301
lewat,958
emailnya,94
ko,1212
teh,20
tlpn,67
salah,1107
konfir,28
jne,2995
sama,2306
merchan,5
ambil,314
tindak,335
lanjutnya,74
tadi,1052
ttg,52
dinotifikasi,6
terkirim,481
blm,5914
menerima,972
sekali,966
lha,24
barangnya,1895
hilang,277
rugi,199
dong,587
kemarin,1468
jawabannya,177
tetap,228
kamu,418
(,1085
detail,152
sandisk,7
usb,11
drive,1
mRE_NUMBER,34
otg,4
RE_NUMBERgb,44
),1056
telah,784
dinyatakan,49
delivered,145
tanggal,1868
oleh,1396
rendy,1
silakan,49
konfirmasi,2456
kepada,459
orang,541
serumah,31
sekitar,151
apabila,233
kerja,484
ekspedisi,650
lebih,1082
lanjut,220
mengenai,303
berkaliRE_NUMBER,38
dikirimi,3
misal,52
berapa,655
waktunya,87
sore,930
RE_NUMBERan,29
tertulis,222
ditrima,20
kenyataannya,46
trima,603
brp,247
klaimnya,1
bantuan,978
pick,277
up,546
driver,1018
tetapi,1002
bahwa,615
kira,419
j,1517
&,1740
t,1494
rumah,698
diambil,101
agen,127
terdekat,83
kamis,312
selamat,1196
perkembangan,85
maret,1509
kantor,604
pos,688
trx,187
krn,674
wah,49
...,7356
cuma,661
seperti,720
yach,33
penyelesaiannya,30
kami,1098
bermasalah,110
kalian,204
kejar,8
terus,897
sementara,471
sebagai,314
pembeli,1116
disuruh,190
sabar,100
koq,233
gk,853
profesional,96
seandainya,41
enak,52
bos,543
bayar,1205
onhkos,0
untuk,3830
pelayanan,201
RE_NUMBERhari,413
nah,162
disini,217
dirugikan,126
kali,804
kedua,147
chatting,24
mempertanyakan,2
hak,29
bagimana,14
ongkos,83
kilat,190
khusus,105
biasa,180
komplain,691
katanya,1043
hebat,3
indonesia,106
persoalan,5
bung,6
keterlambatan,57
kebangetan,2
terlambatnya,1
makiRE_NUMBER,1
pelanggan,234
mereka,140
menuntut,6
uangnya,257
makanya,134
dianggap,22
wanprestasi,1
mengembalikan,52
lagian,5
berguna,2
RE_NUMBERxRE_NUMBER,482
penyelesaian,60
akan,1908
tuntut,3
jalur,16
hukum,10
semua,288
percakapan,17
rekam,2
bukti,379
audah,5
cukup,791
tetima,14
ditokonya,0
sedangkan,659
memanggil,1
lg,704
pengemudi,5
mengambil,83
toko,511
maaf,1488
tamu,6
ditunggu,564
RE_NUMBERRE_TRANSACTIONRE_NUMBER,1170
alamat,2955
sampai.tapi,12
memang,545
lengkap,323
harus,1331
kurir,1533
benar,412
baik,2806
dulu,659
ganggu,17
jelaskan,38
alat,71
musik,2
