pesanan,12832,pesan,pesanan
nomer,1725,nomer,0
sebelumnya,475,belum,sebelumnya
transakai,10,transakai,0
digantikan,7,ganti,digantikan
yg,7380,yg,0
diatas,114,atas,diatas
dikembalikan,748,kembali,dikembalikan
yah,710,yah,0
soalnya,1156,soal,soalnya
pelapak,7038,apak,pelapak
bukalapak,4772,bukalapak,0
notifikasinya,10,notifikasi,notifikasinya
dananya,157,dana,dananya
admin,760,admin,0
dikirim,4336,kirim,dikirim
sampe,2290,sampe,0
satunya,59,satu,satunya
blom,909,blom,0
dibantu,738,bantu,dibantu
dgn,1124,dgn,0
pengiriman,5346,kirim,pengiriman
terkait,334,kait,terkait
terimakasih,2857,terimakasih,0
dtggu,12,dtggu,0
ok,7579,ok,0
diblas,4,diblas,0
ditindak,145,tindak,ditindak
lanjuti,284,lanjut,lanjuti
tdk,2003,tdk,0
infonya,633,info,infonya
diproses,587,proses,diproses
wib,432,wib,0
diperbaiki,29,diperbaiki,0
harusnya,426,harus,harusnya
nya,7809,nya,0
tgl,3279,tgl,0
ga,2531,ga,0
nunggunya,28,nunggunya,0
respo,1,respo,0
respon,1424,respon,0
diselesaikan,58,selesai,diselesaikan
secepatnya,581,cepat,secepatnya
kejelasan,310,jelas,kejelasan
barag,6,barag,0
berubah,342,rubah,berubah
batalkan,386,batal,batalkan
tagihan,2968,tagih,tagihan
penjual,1917,penjual,0
terlalu,263,lalu,terlalu
dibuka,85,buka,dibuka
dibatalkan,402,batal,dibatalkan
menunggu,1439,menunggu,0
membayar,145,bayar,membayar
tagihannya,189,tagihannya,0
cobadeh,1,cobadeh,0
dicek,288,cek,dicek
ngirimnya,22,ngirimnya,0
pake,802,pake,0
selamaat,2,selamaat,0
dimasukan,14,dimasukan,0
pilihan,95,pilih,pilihan
pembayaaran,0,pembayaaran,0
akulaku,318,akulaku,0
caranya,338,cara,caranya
kemaren,532,kemaren,0
sya,1976,sya,0
melakukan,935,laku,melakukan
pembayaran,1503,bayar,pembayaran
kompirmsi,9,kompirmsi,0
gimna,133,gimna,0
jdi,103,jdi,0
gitu,368,gitu,0
ditinggu,3,ditinggu,0
sy,6833,sy,0
lgi,184,lgi,0
maksudnya,321,maksud,maksudnya
percepat,132,cepat,percepat
makasih,1224,makasih,0
bantuannya,1607,bantuannya,0
belom,1062,belom,0
sdr,4,sdr,0
laporan,348,lapor,laporan
tujuan,893,tuju,tujuan
terbaru,55,baru,terbaru
winata,0,winata,0
pembelian,1452,beli,pembelian
ny,494,ny,0
distatus,58,status,distatus
udh,1091,udh,0
diterima,1610,terima,diterima
tp,2625,tp,0
brgnya,77,brgnya,0
gmn,725,gmn,0
org,151,org,0
grabnya,82,grabnya,0
dihubungin,12,dihubungin,0
bs,569,bs,0
bsk,111,bsk,0
kluar,23,kluar,0
dihubungi,313,hubung,dihubungi
menghubungi,885,hubung,menghubungi
jd,504,jd,0
palinh,2,palinh,0
sdh,3126,sdh,0
aj,119,aj,0
solusinya,295,solusi,solusinya
